time in ms,channel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
920,4810486,6947884,6545128,6385703,8388607,8388607,8388607,8388607
1029,4807429,6947455,6543433,6382328,8388607,8388607,8388607,8388607
1113,4803262,6945193,6542500,6379653,8388607,8388607,8388607,8388607
1197,4798852,6946004,6541021,6377432,8388607,8388607,8388607,8388607
1292,4796186,6943043,6540238,6373655,8388607,8388607,8388607,8388607
1387,4793408,6944423,6538989,6371647,8388607,8388607,8388607,8388607
1532,4787783,6941588,6536255,6366401,8388607,8388607,8388607,8388607
1657,4786245,6942643,6535610,6364024,8388607,8388607,8388607,8388607
1778,4782524,6944546,6534848,6361849,8388607,8388607,8388607,8388607
1905,4779749,6945793,6533759,6358838,8388607,8388607,8388607,8388607
2029,4777746,6946303,6533652,6357387,8388607,8388607,8388607,8388607
2155,4776403,6945477,6534362,6355495,8388607,8388607,8388607,8388607
2280,4771057,6947139,6533667,6353482,8388607,8388607,8388607,8388607
2413,4769545,6945534,6533837,6351410,8388607,8388607,8388607,8388607
2550,4768271,6947634,6534630,6349894,8388607,8388607,8388607,8388607
2815,4765653,6950746,6535743,6347894,8388607,8388607,8388607,8388607
2947,4763141,6952975,6534575,6346081,8388607,8388607,8388607,8388607
3124,4760799,6954074,6533503,6343506,8388607,8388607,8388607,8388607
3249,4760632,6956283,6533930,6343053,8388607,8388607,8388607,8388607
3379,4758979,6955617,6533756,6341227,8388607,8388607,8388607,8388607
3507,4759054,6958462,6533902,6340642,8388607,8388607,8388607,8388607
3633,4755505,6956720,6534278,6338690,8388607,8388607,8388607,8388607
3766,4754464,6959873,6534650,6338017,8388607,8388607,8388607,8388607
3896,4754975,6959410,6535042,6336715,8388607,8388607,8388607,8388607
4020,4753959,6959753,6535416,6336094,8388607,8388607,8388607,8388607
4145,4752678,6961553,6534949,6334552,8388607,8388607,8388607,8388607
4271,4749720,6960126,6535452,6333433,8388607,8388607,8388607,8388607
4404,4750776,6960935,6535548,6332209,8388607,8388607,8388607,8388607
4531,4749035,6961558,6535536,6330594,8388607,8388607,8388607,8388607
4662,4745733,6963683,6534952,6330278,8388607,8388607,8388607,8388607
4986,4744558,6963925,6536145,6328479,8388607,8388607,8388607,8388607
5128,4745029,6961887,6534730,6326423,8388607,8388607,8388607,8388607
5264,4741575,6962129,6534683,6325599,8388607,8388607,8388607,8388607
5402,4741810,6959431,6534998,6324411,8388607,8388607,8388607,8388607
5533,4740402,6958561,6534797,6323182,8388607,8388607,8388607,8388607
5667,4739653,6960215,6534457,6322921,8388607,8388607,8388607,8388607
5801,4739855,6958611,6535134,6322144,8388607,8388607,8388607,8388607
5943,4737850,6958393,6534425,6321518,8388607,8388607,8388607,8388607
6083,4738421,6955906,6535357,6320741,8388607,8388607,8388607,8388607
6212,4736966,6957009,6535635,6320598,8388607,8388607,8388607,8388607
6346,4736331,6957192,6535708,6320299,8388607,8388607,8388607,8388607
6480,4736930,6954260,6536828,6319179,8388607,8388607,8388607,8388607
6619,4734412,6954987,6536284,6318806,8388607,8388607,8388607,8388607
6808,4734540,6953600,6535362,6317105,8388607,8388607,8388607,8388607
6943,4735965,6951102,6537424,6317559,8388607,8388607,8388607,8388607
7215,4734258,6951214,6539510,6317119,8388607,8388607,8388607,8388607
7350,4733996,6950055,6538119,6315253,8388607,8388607,8388607,8388607
7488,4732749,6948691,6538444,6314332,8388607,8388607,8388607,8388607
7630,4734890,6947672,6538900,6314154,8388607,8388607,8388607,8388607
7765,4732135,6948393,6539181,6313637,8388607,8388607,8388607,8388607
7906,4733985,6946581,6539457,6313022,8388607,8388607,8388607,8388607
8040,4733782,6946074,6539333,6312126,8388607,8388607,8388607,8388607
8173,4733484,6947949,6538107,6312550,8388607,8388607,8388607,8388607
8306,4733354,6945892,6538779,6312225,8388607,8388607,8388607,8388607
8441,4733707,6945645,6538874,6311715,8388607,8388607,8388607,8388607
8580,4733047,6943910,6538450,6311238,8388607,8388607,8388607,8388607
8780,4729997,6943260,6537650,6310910,8388607,8388607,8388607,8388607
8924,4731553,6944351,6537012,6310990,8388607,8388607,8388607,8388607
9067,4730872,6943483,6536661,6310497,8388607,8388607,8388607,8388607
9249,4733106,6939666,6536015,6309495,8388607,8388607,8388607,8388607
9504,4732504,6940949,6537194,6311269,8388607,8388607,8388607,8388607
9639,4731609,6935671,6536020,6308838,8388607,8388607,8388607,8388607
9771,4734855,6935945,6535107,6308255,8388607,8388607,8388607,8388607
9892,4732880,6936324,6535354,6308361,8388607,8388607,8388607,8388607
10010,4732023,6935521,6534723,6307988,8388607,8388607,8388607,8388607
10136,4731861,6933550,6535708,6307605,8388607,8388607,8388607,8388607
10261,4732575,6931670,6535891,6306494,8388607,8388607,8388607,8388607
10382,4732379,6931602,6535501,6306542,8388607,8388607,8388607,8388607
10514,4731030,6932669,6535349,6306331,8388607,8388607,8388607,8388607
10691,4730537,6936194,6534509,6306607,8388607,8388607,8388607,8388607
10823,4731813,6938432,6535061,6306684,8388607,8388607,8388607,8388607
10947,4731800,6944930,6535291,6306825,8388607,8388607,8388607,8388607
11069,4730525,6951154,6535213,6307022,8388607,8388607,8388607,8388607
11201,4729083,6954229,6535346,6306906,8388607,8388607,8388607,8388607
11334,4731898,6960664,6534547,6306286,8388607,8388607,8388607,8388607
11600,4730385,6967328,6535982,6306662,8388607,8388607,8388607,8388607
11731,4730539,6969033,6534492,6305702,8388607,8388607,8388607,8388607
11853,4729583,6972304,6533619,6305053,8388607,8388607,8388607,8388607
11978,4729783,6974863,6532531,6304515,8388607,8388607,8388607,8388607
12102,4729284,6976033,6532417,6304161,8388607,8388607,8388607,8388607
12224,4728632,6977733,6533220,6303950,8388607,8388607,8388607,8388607
12352,4726698,6982424,6531364,6303920,8388607,8388607,8388607,8388607
12541,4726199,6985578,6531751,6303557,8388607,8388607,8388607,8388607
12671,4725735,6989445,6531115,6304033,8388607,8388607,8388607,8388607
12806,4725610,6989519,6531122,6303712,8388607,8388607,8388607,8388607
12938,4725551,6993653,6531534,6303646,8388607,8388607,8388607,8388607
13067,4725332,6993947,6531264,6303593,8388607,8388607,8388607,8388607
13192,4721937,6998075,6531592,6303987,8388607,8388607,8388607,8388607
13327,4721736,6998542,6532902,6303446,8388607,8388607,8388607,8388607
13462,4721526,6997840,6535512,6303538,8388607,8388607,8388607,8388607
13749,4721057,6998812,6539358,6304413,8388607,8388607,8388607,8388607
13885,4720918,6997558,6538320,6302517,8388607,8388607,8388607,8388607
14017,4719510,6997714,6538042,6302428,8388607,8388607,8388607,8388607
14147,4718712,6994947,6538962,6302362,8388607,8388607,8388607,8388607
14278,4717163,6995018,6539021,6302324,8388607,8388607,8388607,8388607
14469,4716615,6994802,6538791,6301098,8388607,8388607,8388607,8388607
14599,4716188,7000098,6539125,6301689,8388607,8388607,8388607,8388607
14734,4716043,7001539,6539249,6302099,8388607,8388607,8388607,8388607
14866,4715435,7000974,6540355,6302142,8388607,8388607,8388607,8388607
15000,4714115,7003906,6540132,6302640,8388607,8388607,8388607,8388607
15133,4713623,7004658,6540547,6303173,8388607,8388607,8388607,8388607
15267,4713240,7002152,6542014,6303271,8388607,8388607,8388607,8388607
15400,4711663,7002787,6541876,6303796,8388607,8388607,8388607,8388607
15540,4709512,7000067,6542787,6303294,8388607,8388607,8388607,8388607
15680,4709370,7001199,6542958,6303229,8388607,8388607,8388607,8388607
15965,4708238,6999232,6546834,6304770,8388607,8388607,8388607,8388607
16100,4709496,6997594,6546144,6303613,8388607,8388607,8388607,8388607
16234,4704907,6996662,6546583,6303365,8388607,8388607,8388607,8388607
16429,4703207,6993137,6547392,6303285,8388607,8388607,8388607,8388607
16568,4704604,6991880,6548318,6303226,8388607,8388607,8388607,8388607
16702,4703661,6993392,6548115,6303606,8388607,8388607,8388607,8388607
16837,4703385,6990675,6548722,6303469,8388607,8388607,8388607,8388607
16972,4700929,6991012,6549167,6303726,8388607,8388607,8388607,8388607
17115,4702336,6987574,6550725,6303521,8388607,8388607,8388607,8388607
17249,4701112,6987089,6551267,6303514,8388607,8388607,8388607,8388607
17382,4699896,6986956,6551159,6303596,8388607,8388607,8388607,8388607
17517,4697488,6985139,6551947,6303806,8388607,8388607,8388607,8388607
17696,4696628,6981010,6551078,6302647,8388607,8388607,8388607,8388607
17816,4695519,6981119,6552068,6303152,8388607,8388607,8388607,8388607
17940,4695294,6979577,6553188,6303187,8388607,8388607,8388607,8388607
18215,4694738,6976995,6554324,6304142,8388607,8388607,8388607,8388607
18388,4693625,6970909,6553038,6301422,8388607,8388607,8388607,8388607
18511,4694097,6970753,6553394,6301495,8388607,8388607,8388607,8388607
18636,4693215,6970496,6552208,6301084,8388607,8388607,8388607,8388607
18763,4693856,6969541,6551616,6301016,8388607,8388607,8388607,8388607
18881,4693420,6967689,6552048,6301162,8388607,8388607,8388607,8388607
19007,4693720,6964947,6551984,6300459,8388607,8388607,8388607,8388607
19135,4694827,6963117,6551720,6300000,8388607,8388607,8388607,8388607
19256,4694172,6962980,6551638,6300359,8388607,8388607,8388607,8388607
19381,4694523,6963266,6551948,6300214,8388607,8388607,8388607,8388607
19501,4694323,6962705,6552433,6300261,8388607,8388607,8388607,8388607
19624,4693869,6960286,6553475,6299938,8388607,8388607,8388607,8388607
19756,4691749,6959787,6553512,6299614,8388607,8388607,8388607,8388607
19885,4692929,6959170,6553784,6299506,8388607,8388607,8388607,8388607
20063,4691014,6956110,6554523,6298974,8388607,8388607,8388607,8388607
