time in ms,raw 1,raw 2,raw 3,raw 4,raw 5,raw 6,raw 7,raw 8
799,0,8388607,7018762,7137445,4529437,4292894,3107371,4770552
882,8388607,7248548,6854302,7122321,4517094,4277638,3093632,4756632
976,8388607,7249204,6854131,7120688,4515203,4271492,3085830,4752122
1069,8388607,7249530,6856291,7118729,4517618,4267986,3080671,4746872
1212,8388607,7252417,6856504,7119377,4517280,4262960,3070682,4745180
1305,8388607,7256247,6858886,7120878,4518174,4263075,3064787,4746431
1398,8388607,7258091,6859824,7121892,4517132,4264775,3056298,4744529
1532,8388607,7256469,6862874,7119006,4519721,4259276,3055051,4742781
1655,8388607,7259617,6862796,7121895,4519208,4261587,3056653,4742771
1799,8388607,7259909,6861652,7122095,4518773,4261159,3053608,4741673
1932,8388607,7260302,6865565,7121139,4521199,4259302,3059589,4742800
2065,8388607,7264047,6866014,7123961,4521076,4260395,3059288,4744427
2198,8388607,7263927,6864508,7123677,4521548,4260441,3055214,4745368
2381,8388607,7265284,6864674,7126192,4522344,4260567,3047966,4743463
2515,8388607,7264416,6869455,7125870,4524028,4260469,3057150,4744772
2638,8388607,7266259,6868080,7126042,4523225,4261491,3062520,4748278
2761,8388607,7265451,6866598,7126365,4523123,4262216,3063515,4747839
2885,8388607,7267408,6868692,7127163,4525725,4259841,3058617,4747664
3018,8388607,7265953,6869005,7128514,4525578,4261805,3052038,4750940
3151,8388607,7266017,6869597,7128782,4529109,4260026,3051670,4748403
3284,8388607,7268018,6864818,7129427,4528683,4261478,3043699,4749023
3408,8388607,7266477,6864348,7129245,4529634,4260122,3045686,4748611
3531,8388607,7266251,6866743,7128624,4531063,4260552,3052703,4748176
3654,8388607,7265300,6867242,7128791,4528854,4258647,3051672,4750448
3778,8388607,7267914,6866901,7131435,4528878,4261710,3053387,4751742
3961,8388607,7267993,6865104,7134001,4528256,4263642,3053235,4750413
4094,8388607,7266130,6866505,7128828,4528602,4260390,3048296,4747455
4227,8388607,7269225,6870424,7130485,4528049,4261000,3054130,4747169
4361,8388607,7268631,6867894,7132779,4526794,4261812,3053788,4749148
4494,8388607,7267493,6873856,7129942,4527867,4258991,3058537,4750157
4627,8388607,7270648,6871866,7131530,4526741,4261041,3062612,4752008
4760,8388607,7270182,6869490,7129943,4526650,4261882,3052694,4754773
4894,8388607,7269004,6874439,7129002,4528774,4261477,3056026,4754541
5037,8388607,7270898,6874884,7130141,4531284,4263376,3051576,4751851
5180,8388607,7270913,6873186,7131352,4529668,4263392,3055102,4753622
5314,8388607,7267746,6874209,7128961,4529847,4260130,3054918,4751513
5447,8388607,7269891,6873561,7131379,4531240,4261608,3055349,4753327
5640,8388607,7269971,6874961,7132196,4530586,4265881,3047897,4753906
5773,8388607,7266801,6871908,7129105,4530831,4261144,3042790,4749424
5907,8388607,7270140,6869985,7133233,4532397,4263194,3041996,4751132
6050,8388607,7270088,6873765,7132210,4530584,4259975,3040663,4749115
6183,8388607,7270642,6871994,7134821,4531121,4263802,3043022,4753631
6326,8388607,7270116,6869312,7131007,4530022,4261057,3044753,4751637
6460,8388607,7272651,6871003,7133431,4528461,4263416,3045233,4751528
6613,8388607,7271029,6874138,7132477,4533758,4262737,3038065,4752178
6756,8388607,7269307,6872737,7131592,4529462,4261358,3031628,4751361
6899,8388607,7272094,6871403,7133790,4530243,4263682,3030747,4753200
7033,8388607,7270323,6874183,7131257,4530109,4259979,3032512,4748968
7166,8388607,7272006,6869850,7131991,4530283,4263323,3030398,4750757
7369,8388607,7273367,6870210,7132328,4530965,4262355,3028512,4748938
7512,8388607,7270298,6872063,7130036,4532270,4260614,3028893,4747893
7656,8388607,7271064,6873164,7130821,4535313,4262928,3029316,4749039
7799,8388607,7272396,6873593,7130796,4532602,4262799,3028803,4748896
7942,8388607,7272584,6872580,7131923,4533743,4263335,3028639,4750515
8085,8388607,7273144,6873391,7133487,4533809,4263203,3039691,4749978
