time in ms,channel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
973,0,1623641,1402660,1566843,297852,149997,732475,436734
1081,0,1623916,1400563,1567074,297826,150617,732118,435790
1217,0,1619119,1394857,1560430,292298,147593,726878,431685
1300,0,1622500,1397316,1561561,292055,150728,726735,431999
1383,0,1625051,1399064,1563043,289943,151550,724400,432569
1467,0,1627362,1401864,1565528,287091,153645,722941,436735
1552,0,1630779,1405275,1568552,283093,155580,721731,441027
1639,0,1630837,1407372,1569661,275571,156960,719773,445174
1813,0,1624881,1404682,1566091,256327,157009,714177,443277
1925,0,1626592,1407214,1566875,247411,160686,712905,443035
2044,0,1625044,1407809,1563344,237779,166790,709702,439590
2165,0,1623298,1407544,1560418,229056,172471,705707,433286
2284,0,1620906,1406893,1555878,221144,176595,702031,427802
2399,0,1621468,1407452,1552838,216750,178236,699153,424369
2520,0,1620327,1406476,1549715,211513,176346,697162,419075
2705,0,1622160,1411752,1551743,211127,174071,699964,416767
2827,0,1622618,1412971,1550532,208350,167384,701955,414391
2948,0,1623699,1415411,1551933,209690,162467,709581,415660
3071,0,1624064,1416756,1554776,212276,157261,718772,415759
3190,0,1625956,1418003,1559916,218359,155281,726295,419383
3314,0,1626853,1418406,1563213,224408,152511,727902,420256
3486,0,1626230,1417871,1567668,235560,149969,721547,417007
3608,0,1628583,1421409,1571358,245767,151251,717884,413893
3727,0,1629583,1424843,1574214,257110,153965,715016,409328
3847,0,1629976,1424820,1575072,269284,158894,714240,407849
3973,0,1631366,1421499,1576187,282725,164675,713914,409575
4097,0,1632884,1415864,1578901,295107,171084,713436,415727
4219,0,1638362,1410766,1578639,308513,182218,712372,421294
4340,0,1641981,1405113,1569745,316580,193646,710679,424067
4464,0,1646465,1401387,1563288,320280,205017,710254,424752
4658,0,1652869,1399960,1564872,319570,226230,714280,419275
4781,0,1649343,1394730,1563062,308021,231155,710615,407711
4904,0,1644350,1392193,1560821,297017,235463,708905,404311
5031,0,1638487,1388763,1555233,285694,237447,705259,405040
5207,0,1630224,1386501,1545858,272918,234952,700273,402380
5330,0,1629399,1387598,1541768,267086,232500,698141,398174
5455,0,1628823,1388891,1537790,262639,228913,697738,393046
5581,0,1628709,1390358,1535406,257616,224365,697295,385374
5706,0,1628624,1390015,1533886,250400,219964,696922,378431
5833,0,1627320,1389016,1534754,241482,216161,697831,375100
5958,0,1628529,1390283,1537476,233022,212932,698669,373646
6084,0,1628078,1389715,1536951,225778,212493,700422,375201
6214,0,1626835,1388489,1535231,219254,211952,700167,376778
6342,0,1626248,1389280,1535722,214424,210578,698910,381916
6469,0,1625509,1389137,1534333,211793,209617,698224,387467
6663,0,1626284,1392224,1535622,214496,210266,698974,399672
6792,0,1622843,1388880,1531378,210711,204002,695122,404881
6974,0,1618804,1387084,1527014,207501,195147,692979,411565
7102,0,1619041,1387714,1527063,206491,191519,692770,415024
7231,0,1619524,1388755,1527849,205486,191496,691966,415255
7359,0,1618761,1388262,1528235,204820,194341,692551,413635
7487,0,1618597,1387740,1527617,204270,195113,691357,409030
7621,0,1617175,1386946,1527940,205800,195442,691028,406249
7752,0,1618250,1388819,1527911,211513,195004,692036,403267
7881,0,1617137,1389761,1527813,222545,192512,692445,399291
8013,0,1617946,1390966,1526715,232604,189370,694567,395411
8142,0,1620483,1391974,1526935,235941,187168,698219,390470
8273,0,1626107,1393397,1526981,235467,182542,701979,383097
8405,0,1633311,1398174,1532782,236557,179210,707364,377907
8534,0,1641845,1407984,1543683,241272,175222,710646,374022
8787,0,1659574,1440715,1564571,258044,178442,717238,366242
8921,0,1664805,1448869,1563331,256786,181312,714556,357662
9056,0,1669094,1455379,1558760,257176,184210,712553,352526
9191,0,1671358,1458540,1550600,263457,184001,708931,346507
9324,0,1672675,1458295,1544521,274935,180572,704132,344494
9462,0,1671181,1457101,1540811,278961,175812,699695,346128
9597,0,1665532,1455036,1544172,276001,170880,699497,350745
9735,0,1658196,1451705,1553644,270256,164345,705321,357224
9902,0,1654067,1448540,1578589,261351,153576,712636,364424
10017,0,1657119,1449374,1601784,256391,149087,715667,368873
10134,0,1660275,1448033,1621585,248622,144401,714944,373778
10247,0,1667475,1447641,1634748,242291,141363,709645,377084
10364,0,1674825,1446677,1640902,236745,140053,702714,380843
10539,0,1683786,1445326,1639473,226166,134929,691503,383875
10656,0,1690553,1446156,1637240,218954,132674,686194,387277
10850,0,1695738,1450655,1631737,211013,129701,683395,396145
10966,0,1690820,1446193,1622325,205092,124066,685206,396550
11084,0,1685034,1444611,1614812,203927,121140,697180,397403
11206,0,1679420,1444436,1608551,205664,119392,716352,396240
11325,0,1674133,1444780,1601268,206930,117694,738416,391864
11442,0,1670180,1444321,1595839,207463,116602,750291,386827
11561,0,1665823,1444039,1590065,206218,114498,748813,381296
11678,0,1663390,1444486,1584858,205178,113699,741152,374143
11799,0,1660405,1443540,1579417,202451,113264,729944,366077
11920,0,1658190,1443348,1575107,200691,113412,719256,359825
12039,0,1657097,1443772,1572479,199074,114395,711226,356455
12217,0,1652748,1442224,1566392,195438,114631,699405,353644
12336,0,1653178,1443023,1565258,196798,117003,694711,353878
12454,0,1653781,1443728,1565419,199458,117635,691889,353537
12575,0,1654010,1444546,1565193,205504,117698,688865,352241
12775,0,1656838,1447981,1567877,233771,122043,690658,353258
12894,0,1654791,1444708,1565718,247598,119212,687698,351177
13014,0,1655331,1443800,1566238,263568,120104,686962,351977
13134,0,1655946,1442653,1566854,272996,119912,685137,352582
13260,0,1655869,1440073,1566570,276632,119555,683727,352210
13385,0,1657657,1439413,1568984,275728,120085,683215,353407
13511,0,1658088,1436639,1569014,269640,118907,681373,351976
13635,0,1659174,1436112,1570958,263379,120004,680525,350671
13757,0,1660183,1436136,1573230,257687,121103,678467,348149
13935,0,1659849,1434904,1574359,249742,122019,675087,343185
14062,0,1662076,1436397,1576900,248589,128575,674820,341270
14186,0,1664017,1436777,1578837,248181,139482,673550,340931
14315,0,1664803,1437384,1581407,249440,154572,673111,344934
14441,0,1666325,1437604,1583614,252880,170696,671625,351904
14569,0,1666165,1435779,1586193,255729,187175,670723,362746
14775,0,1673442,1437581,1600002,264255,215380,673645,390640
14898,0,1671708,1432629,1602341,262779,223071,670365,396978
15020,0,1672465,1429385,1603853,262527,226710,670434,399623
15149,0,1673322,1426189,1605348,261700,224755,671882,397768
15276,0,1674838,1423665,1603847,259261,220200,676300,394279
15403,0,1676432,1420867,1602225,255043,214023,683215,390627
15530,0,1678624,1418573,1599096,250677,209291,691634,389248
15706,0,1680542,1413549,1591369,243052,202142,702480,388783
15831,0,1684112,1412249,1588202,241182,199294,709279,390155
15965,0,1687800,1411259,1584123,239820,198183,713518,395126
16106,0,1691127,1409958,1579693,239169,196310,715627,402286
16236,0,1694954,1410285,1578049,241906,195936,716551,410451
16364,0,1697549,1410642,1577535,245518,196221,717407,414252
16494,0,1699219,1411219,1577110,248300,194514,719101,416650
16624,0,1698566,1410716,1578207,253015,196072,722919,416366
16845,0,1697235,1412839,1582836,258536,200902,731660,416167
16981,0,1688024,1405784,1578574,254213,201141,730270,415440
17113,0,1681983,1403869,1578128,254531,203303,727311,417679
17245,0,1676852,1401476,1577072,256778,203843,723143,415790
17375,0,1672376,1400843,1574990,259864,201679,717391,412398
17562,0,1664175,1401613,1569901,262541,193660,708647,403736
17692,0,1661304,1406719,1568637,265252,188063,704599,400903
17824,0,1657532,1412143,1564441,263603,179783,699726,402767
17957,0,1654173,1416697,1561400,260932,173846,697003,406879
18087,0,1652156,1419908,1559063,257552,168826,695736,408414
18222,0,1649243,1420295,1555686,252722,163745,696035,408794
18357,0,1646975,1421156,1553368,249360,161822,700421,405110
18494,0,1645651,1421906,1551401,247096,160044,706484,399248
18628,0,1644726,1423858,1550323,245743,160740,711282,392904
18760,0,1642919,1424223,1549846,245831,162307,712557,389623
18971,0,1644817,1430315,1553581,253797,171786,712162,390902
19103,0,1638931,1426065,1548057,252237,173405,706029,391503
19274,0,1632903,1423397,1542666,254027,175432,699119,393274
19441,0,1634591,1423073,1539933,262004,182281,698484,397256
19556,0,1641124,1422979,1537797,268358,185737,697764,398758
19672,0,1646374,1422194,1535805,276267,188421,696910,399860
19786,0,1650791,1420840,1533918,285451,190479,696375,401417
19905,0,1653500,1419377,1532640,296804,192419,695841,401420
20022,0,1654647,1418038,1531390,308818,194408,694101,401863
20147,0,1654655,1415579,1529952,319651,196199,693234,401450
20270,0,1655708,1414768,1531132,329965,198204,692806,401033
20390,0,1655401,1414791,1535689,337435,201145,692813,400978
20507,0,1655363,1413944,1543293,340437,201985,690758,400916
20626,0,1654554,1414478,1553573,344549,205321,691908,400765
20746,0,1652725,1414061,1559336,347184,206629,692147,400283
20945,0,1658552,1418760,1571759,358233,211196,698444,401513
21122,0,1656330,1412158,1566782,367112,206671,701480,393837
21239,0,1658298,1412936,1567221,378952,207100,708647,389447
21367,0,1657586,1411142,1566580,389114,204688,716805,384228
21486,0,1658193,1413204,1566689,397270,202312,723958,380164
21605,0,1656310,1412527,1564727,401621,199727,730180,376617
21728,0,1654279,1412061,1561973,402617,195664,732250,373455
21852,0,1653887,1412710,1561699,402102,192252,733935,373108
21971,0,1653298,1412694,1559978,401510,188509,733625,373183
22092,0,1652193,1412246,1557457,401083,185249,731047,375343
22214,0,1651963,1413178,1556801,399972,183387,729401,379940
22340,0,1650604,1412519,1554920,393152,180020,724848,383917
22461,0,1649943,1414561,1553685,384870,180461,722656,389478
22583,0,1648230,1414971,1553414,372372,180081,719495,395465
22758,0,1644653,1413768,1550781,349711,181087,714350,405154
22965,0,1648788,1419530,1554212,330004,190022,711586,419031
23091,0,1646075,1415478,1550263,313747,191295,706758,427483
23218,0,1644984,1413599,1549160,300673,196350,704898,439034
23344,0,1644418,1412055,1547901,291200,199872,704692,445495
23466,0,1644332,1411417,1547163,281869,200525,706814,453615
23592,0,1644996,1411506,1546942,274679,199206,713599,462502
23717,0,1646050,1413345,1547014,267498,196219,726603,465913
23843,0,1646048,1416122,1545579,262215,193323,738363,465400
23976,0,1645205,1419491,1543687,254998,190690,742365,462872
24108,0,1646734,1422688,1543973,249098,188876,738868,455748
24237,0,1647343,1423128,1541936,244073,189093,731523,446554
24366,0,1647579,1422700,1540491,240367,190779,724818,437039
24542,0,1644603,1419580,1539412,243808,193572,717228,422826
24673,0,1644447,1417768,1537787,253352,192118,712973,413978
24800,0,1642713,1414646,1536514,266701,189575,710968,408735
25008,0,1644775,1415856,1541414,289622,186202,714207,408015
25136,0,1640361,1410629,1538344,289070,177852,712601,405296
25265,0,1637778,1409442,1542908,286671,173735,715097,408876
25393,0,1637839,1413025,1551577,280030,169856,716256,415195
25522,0,1637176,1420149,1557370,272012,168744,719744,419132
25654,0,1639387,1427441,1559527,263127,168777,724448,422975
25782,0,1642696,1431439,1560020,253852,170174,729739,425134
25913,0,1643112,1429732,1557258,245779,171580,736256,422135
26046,0,1642853,1429196,1553930,239308,171892,741998,416080
26180,0,1641691,1428428,1550414,233906,171353,746368,407958
26358,0,1638360,1428426,1545418,228765,169513,749202,398024
26490,0,1638357,1431625,1543608,227428,171025,749815,397672
26622,0,1640839,1436995,1543177,226515,175205,747266,400635
26752,0,1646409,1445911,1543882,226165,181730,741695,399085
26882,0,1652550,1454052,1543215,227701,189693,736135,395467
27091,0,1666002,1470499,1547984,239883,204278,731752,391520
27220,0,1664511,1475111,1546821,244864,204555,725380,383939
27355,0,1662114,1479272,1550185,255040,206017,721738,378922
27487,0,1659860,1480820,1554999,265260,204394,719340,376277
27620,0,1659105,1480840,1559855,277610,203649,718089,372618
27756,0,1657083,1478259,1561920,291315,202321,717230,369472
27891,0,1657512,1474706,1561247,304693,199452,714766,367074
28025,0,1658079,1470613,1560348,315320,196038,713292,364703
28212,0,1657775,1464055,1557642,316933,195179,712031,361648
28348,0,1661808,1459333,1555971,307900,202128,714591,362082
28521,0,1669721,1452564,1555784,290614,215238,718524,359211
28638,0,1677082,1450807,1557113,280955,226322,721696,359045
28757,0,1681287,1447695,1558673,271731,235322,723187,360775
28874,0,1684741,1444889,1562937,265653,243412,724266,364094
28992,0,1685889,1442023,1566419,262611,250152,724809,368221
29190,0,1689307,1442732,1574321,269122,259648,728470,383274
29304,0,1687686,1438067,1576638,270444,255857,725511,388898
29425,0,1685026,1434726,1578400,271391,249513,724074,396071
29541,0,1683757,1433514,1581809,274277,243146,723562,406924
29656,0,1682738,1432384,1586540,273462,234903,722858,420530
29774,0,1680199,1430236,1591421,267517,225978,721516,432292
29942,0,1675242,1427472,1595343,257498,216058,721119,446118
30058,0,1675026,1426966,1599540,248956,208581,721824,449745
30179,0,1673418,1424896,1602230,237953,199309,722206,445184
30299,0,1671869,1423612,1601107,227048,190245,723330,435352
30418,0,1670284,1423669,1598453,218102,182813,727525,426581
30536,0,1668019,1425012,1595298,209932,175791,729628,417961
30656,0,1668104,1430995,1593239,203557,170949,730360,409265
30784,0,1669913,1436670,1588721,196016,167967,726516,399319
30902,0,1674365,1442631,1585264,191097,173007,722339,390791
31103,0,1683256,1452870,1580503,188756,187411,715490,379697
31225,0,1680325,1449956,1570499,182858,187452,707534,369545
31347,0,1676337,1448756,1564289,179268,184391,702106,363548
31470,0,1671361,1448437,1560232,177388,180149,698036,357488
31644,0,1663142,1445581,1554971,175253,173142,693700,350879
31767,0,1660709,1445285,1553359,176465,168646,691223,347606
31890,0,1658069,1442517,1552248,175662,163138,689086,344628
32012,0,1656844,1440656,1551446,175996,158862,687615,342324
32136,0,1654740,1438395,1550691,177892,153734,685167,338944
32258,0,1653952,1437168,1551003,181553,149776,684205,336512
32379,0,1655841,1437170,1551725,187199,146158,683486,334141
32500,0,1659141,1438257,1553050,196966,144419,683957,332746
32628,0,1662039,1439076,1554401,213091,140619,684041,330309
32753,0,1663198,1441579,1555978,233814,136443,684147,328945
32882,0,1661634,1446659,1559612,259532,134972,684322,326704
33087,0,1660385,1458439,1566146,308443,136162,688915,327553
33213,0,1655717,1459598,1564384,331834,134821,687391,324178
33387,0,1650873,1459713,1563141,353519,136777,686239,320556
33514,0,1650600,1459084,1562741,354346,142278,688251,319939
33638,0,1650071,1456696,1562348,345499,146122,689263,318874
33767,0,1649604,1453930,1561990,331819,145869,690377,318687
33897,0,1649164,1451017,1561886,317038,144835,690675,318899
34024,0,1649268,1447773,1562723,304737,144550,691546,322400
34150,0,1649469,1445478,1565787,293979,142915,691235,326385
34279,0,1650490,1441962,1568791,283285,142723,690782,334192
34407,0,1651864,1439601,1571457,275914,145429,691128,344402
34541,0,1654533,1437101,1571408,268941,148823,690714,352932
34672,0,1657551,1434275,1569175,261795,153827,690441,359578
34803,0,1657759,1432035,1567729,256698,161238,692991,366376
34932,0,1659802,1430914,1568932,253545,172431,700223,371277
35197,0,1663593,1430459,1573830,250639,203382,732986,384158
35328,0,1659537,1424701,1569481,244382,213604,745775,384675
35465,0,1658973,1423614,1568192,241191,223580,755710,387104
35596,0,1658019,1421390,1565127,237339,231449,761504,389215
35727,0,1656623,1419466,1561715,233054,238293,761878,390829
35858,0,1655062,1416834,1559038,228700,242804,758980,391651
35988,0,1654240,1415416,1556566,226049,245736,754696,390829
36118,0,1652648,1413648,1552547,224074,244852,750879,390092
36251,0,1650148,1410565,1548564,221163,239807,747737,388179
36386,0,1648552,1409304,1545387,219671,233280,746093,387508
36518,0,1646640,1407576,1541800,219089,225771,744360,385420
36648,0,1644824,1406527,1539536,217989,217907,742644,384131
36781,0,1642500,1405035,1537726,217013,211340,740724,382484
36961,0,1639539,1402936,1534562,215203,203760,743575,379689
37100,0,1638758,1401560,1532806,214545,199692,753534,379216
37316,0,1641243,1404527,1534883,217654,198368,780930,380150
37446,0,1638007,1401222,1530846,214578,193531,793617,377790
37578,0,1636019,1399380,1528672,213048,190781,803100,376095
37741,0,1632200,1397182,1525559,211044,185733,807695,373584
37856,0,1633340,1399768,1526732,213669,186368,809552,374218
37970,0,1632916,1400765,1526707,214465,185675,807871,372918
38086,0,1631499,1401544,1526181,214090,184061,805178,371815
38204,0,1630929,1403328,1525292,213711,182658,800511,370059
38322,0,1629075,1404888,1525109,214068,182494,798238,368586
38437,0,1628582,1406918,1525145,213373,182097,795587,367123
38552,0,1627313,1408635,1524752,212566,181958,793191,364822
38722,0,1623537,1410790,1523516,209596,180471,790039,362367
38843,0,1623894,1412587,1523855,208461,180874,788013,360048
38957,0,1624759,1416221,1526970,207897,181915,787544,360030
39073,0,1624172,1416322,1526484,207244,182504,785996,357771
39268,0,1626787,1420767,1532749,210272,188318,786918,357995
39385,0,1624391,1417324,1531103,205502,185153,781897,354228
39503,0,1623253,1417699,1532107,204470,186370,778728,352320
39623,0,1622849,1418356,1534180,204600,189595,776912,351549
39741,0,1623031,1419916,1537163,204530,193398,773836,350637
39860,0,1624070,1424406,1539178,204969,199048,772115,348590
39978,0,1623774,1426653,1540223,204284,204763,769033,348664
40097,0,1623532,1429951,1542105,205607,209449,766663,347090
40222,0,1623273,1431700,1543349,204949,211308,764325,345729
40394,0,1622233,1433535,1542772,204058,209002,761465,343187
40513,0,1624351,1435934,1543841,204695,207572,760291,342894
40631,0,1624336,1437958,1544800,205174,204013,759089,341184
40752,0,1624589,1439470,1544954,205608,201204,759455,340612
40875,0,1625577,1441127,1544063,210335,197276,758919,339592
40996,0,1625806,1442674,1543513,223662,192545,758855,339160
41195,0,1629445,1449539,1547569,261804,190379,761410,341253
41320,0,1626425,1447660,1543545,285520,184513,758723,339660
41451,0,1626050,1450462,1542653,310363,180662,757205,338836
41573,0,1626039,1454399,1543072,330346,179414,756947,340250
41699,0,1626120,1456236,1542584,347983,178057,755426,341886
41824,0,1626882,1459707,1543370,358639,178798,754121,343414
41949,0,1628288,1461272,1544110,363236,183534,753310,344456
