time in ms,channel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7

5909544,4513107,6618829,6742344,6518779,8388607,8388607,8388607,8388607
5909649,4517272,6618349,6742967,6519635,8388607,8388607,8388607,8388607
5909732,4517638,6617582,6742938,6521208,8388607,8388607,8388607,8388607
5909816,4518004,6618273,6743102,6522182,8388607,8388607,8388607,8388607
5909899,4517453,6618317,6741524,6526495,8388607,8388607,8388607,8388607
5909983,4515627,6618858,6741151,6528483,8388607,8388607,8388607,8388607
5910104,4512233,6613436,6735797,6526404,8388607,8388607,8388607,8388607
5910190,4514280,6615662,6739703,6530843,8388607,8388607,8388607,8388607
5910274,4516725,6616744,6741880,6533466,8388607,8388607,8388607,8388607
5910357,4516677,6618079,6741855,6536584,8388607,8388607,8388607,8388607
5910441,4516081,6617473,6741060,6539391,8388607,8388607,8388607,8388607
5910525,4515971,6618884,6741429,6541957,8388607,8388607,8388607,8388607
5910608,4514619,6618093,6741368,6542243,8388607,8388607,8388607,8388607
5910694,4523850,6617995,6742647,6543137,8388607,8388607,8388607,8388607
5910776,4517530,6617032,6743594,6545334,8388607,8388607,8388607,8388607
5911030,4512664,6618236,6743744,6553768,8388607,8388607,8388607,8388607
5911113,4515158,6617094,6744047,6555283,8388607,8388607,8388607,8388607
5911196,4516388,6617820,6745527,6559563,8388607,8388607,8388607,8388607
5911280,4515180,6617563,6744272,6564608,8388607,8388607,8388607,8388607
5911363,4514336,6618296,6744468,6569349,8388607,8388607,8388607,8388607
5911447,4512730,6618120,6743700,6572619,8388607,8388607,8388607,8388607
5911531,4514966,6617430,6745778,6574744,8388607,8388607,8388607,8388607
5911614,4515730,6617151,6746092,6578597,8388607,8388607,8388607,8388607
5911698,4515219,6618103,6745278,6581835,8388607,8388607,8388607,8388607
5911782,4514330,6617441,6745112,6586193,8388607,8388607,8388607,8388607
5911865,4513232,6617836,6744644,6589189,8388607,8388607,8388607,8388607
5911949,4513165,6618524,6745711,6590389,8388607,8388607,8388607,8388607
5912032,4514329,6617539,6746324,6592951,8388607,8388607,8388607,8388607
5912119,4522171,6616370,6746360,6593713,8388607,8388607,8388607,8388607
5912200,4514293,6616592,6745479,6597245,8388607,8388607,8388607,8388607
5912453,4512094,6616878,6747714,6601229,8388607,8388607,8388607,8388607
5912537,4514028,6616349,6747446,6601362,8388607,8388607,8388607,8388607
5912620,4512985,6616748,6747577,6604305,8388607,8388607,8388607,8388607
5912704,4512286,6617874,6746580,6606540,8388607,8388607,8388607,8388607
5912788,4512212,6617379,6747060,6606710,8388607,8388607,8388607,8388607
5912871,4513460,6617306,6747626,6607336,8388607,8388607,8388607,8388607
5912955,4514381,6616893,6748297,6607115,8388607,8388607,8388607,8388607
5913038,4513363,6616892,6749062,6607389,8388607,8388607,8388607,8388607
5913122,4513075,6617404,6748868,6609716,8388607,8388607,8388607,8388607
5913206,4512499,6617830,6747831,6609136,8388607,8388607,8388607,8388607
5913289,4512070,6617252,6749273,6609280,8388607,8388607,8388607,8388607
5913373,4513100,6616351,6750309,6608235,8388607,8388607,8388607,8388607
5913460,4521249,6616244,6749815,6606894,8388607,8388607,8388607,8388607
5913540,4513327,6616067,6750430,6607035,8388607,8388607,8388607,8388607
5913624,4512291,6617297,6749212,6607156,8388607,8388607,8388607,8388607
5913877,4509668,6616040,6751869,6602028,8388607,8388607,8388607,8388607
5913961,4512128,6617122,6751997,6602590,8388607,8388607,8388607,8388607

5918591,4505567,6610481,6747122,6540759,8388607,8388607,8388607,8388607
5918678,4508893,6613495,6753066,6542826,8388607,8388607,8388607,8388607
5918762,4510458,6614917,6754047,6543228,8388607,8388607,8388607,8388607
5918845,4511058,6616633,6754471,6544187,8388607,8388607,8388607,8388607
5918929,4510284,6617280,6754990,6543856,8388607,8388607,8388607,8388607
5919012,4510947,6616760,6755115,6542210,8388607,8388607,8388607,8388607
5919096,4510945,6616773,6755685,6540004,8388607,8388607,8388607,8388607
5919180,4511991,6616104,6756550,6538591,8388607,8388607,8388607,8388607
5919263,4512162,6616708,6755413,6538396,8388607,8388607,8388607,8388607
5919381,4527496,6613154,6750779,6532708,8388607,8388607,8388607,8388607
5919461,4509536,6615079,6754172,6535272,8388607,8388607,8388607,8388607
5919544,4510634,6617456,6754373,6538004,8388607,8388607,8388607,8388607
5919628,4510355,6618460,6754384,6537572,8388607,8388607,8388607,8388607
