time in ms,temp 1,temp 2,temp 3,temp 4,temp 5,temp 6,temp 7,temp 8,raw 1,raw 2,raw 3,raw 4,raw 5,raw 6,raw 7,raw 8
46914,12.55956,35.01322,35.26315,35.21041,35.08571,34.96398,16.42801,15.5722,8388607,3631028,3351227,3496971,2261588,2111658,8388607,8388607
47007,12.55956,35.016,35.25944,35.21825,35.08456,34.96879,16.42801,15.5722,8388607,3630203,3352349,3494661,2261939,2110193,8388607,8388607
47171,12.55956,35.0159,35.26761,35.21645,35.08465,34.97122,16.42801,15.5722,8388607,3630234,3349881,3495191,2261914,2109452,8388607,8388607
47304,12.55956,35.0192,35.26229,35.21832,35.0812,34.97794,16.42801,15.5722,8388607,3629257,3351488,3494641,2262970,2107404,8388607,8388607
47437,12.55956,35.01735,35.27113,35.22162,35.08114,34.97175,16.42801,15.5722,8388607,3629802,3348813,3493668,2262989,2109292,8388607,8388607
47570,12.55956,35.02196,35.2706,35.22722,35.0818,34.97077,16.42801,15.5722,8388607,3628439,3348975,3492017,2262785,2109589,8388607,8388607
47704,12.55956,35.02542,35.26397,35.22586,35.08021,34.97748,16.42801,15.5722,8388607,3627411,3350981,3492418,2263274,2107546,8388607,8388607
47837,12.55956,35.02197,35.27133,35.21901,35.08369,34.96953,16.42801,15.5722,8388607,3628436,3348754,3494436,2262207,2109967,8388607,8388607
47970,12.55956,35.02077,35.26712,35.21729,35.07654,34.97206,16.42801,15.5722,8388607,3628791,3350026,3494944,2264399,2109197,8388607,8388607
48113,12.55956,35.02534,35.2729,35.21441,35.08192,34.97093,16.42801,15.5722,8388607,3627436,3348281,3495793,2262749,2109540,8388607,8388607
48247,12.55956,35.03586,35.26489,35.21896,35.08292,34.97433,16.42801,15.5722,8388607,3624321,3350701,3494451,2262444,2108506,8388607,8388607
48380,12.55956,35.03108,35.271,35.21447,35.08498,34.97094,16.42801,15.5722,8388607,3625736,3348853,3495775,2261813,2109539,8388607,8388607
48513,12.55956,35.02192,35.26641,35.21354,35.09106,34.97548,16.42801,15.5722,8388607,3628451,3350242,3496049,2259947,2108154,8388607,8388607
48716,12.55956,35.01233,35.26549,35.20734,35.08737,34.97496,16.42801,15.5722,8388607,3631290,3350521,3497877,2261078,2108314,8388607,8388607
48850,12.55956,35.01479,35.26603,35.21533,35.08327,34.97265,16.42801,15.5722,8388607,3630561,3350358,3495522,2262337,2109017,8388607,8388607
48993,12.55956,35.01623,35.2711,35.21417,35.08764,34.97486,16.42801,15.5722,8388607,3630134,3348824,3495862,2260996,2108344,8388607,8388607
49136,12.55956,35.01439,35.273,35.21718,35.08476,34.9709,16.42801,15.5722,8388607,3630680,3348251,3494976,2261881,2109550,8388607,8388607
49279,12.55956,35.02267,35.26204,35.22243,35.08118,34.97265,16.42801,15.5722,8388607,3628227,3351564,3493427,2262976,2109016,8388607,8388607
49412,12.55956,35.02163,35.26577,35.2156,35.079,34.96798,16.42801,15.5722,8388607,3628535,3350434,3495442,2263644,2110441,8388607,8388607
49556,12.55956,35.02168,35.27404,35.21371,35.09052,34.97329,16.42801,15.5722,8388607,3628520,3347934,3496000,2260115,2108823,8388607,8388607
49709,12.55956,35.02256,35.271,35.21988,35.08557,34.97173,16.42801,15.5722,8388607,3628261,3348854,3494181,2261630,2109296,8388607,8388607
49852,12.55956,35.01864,35.27159,35.21355,35.08481,34.96927,16.42801,15.5722,8388607,3629421,3348674,3496046,2261863,2110048,8388607,8388607
49995,12.55956,35.021,35.26839,35.21465,35.09001,34.97305,16.42801,15.5722,8388607,3628721,3349643,3495720,2260272,2108894,8388607,8388607
50139,12.55956,35.01303,35.26981,35.2123,35.08573,34.97495,16.42801,15.5722,8388607,3631083,3349212,3496414,2261581,2108315,8388607,8388607
50282,12.55956,35.01802,35.27141,35.21156,35.08414,34.97991,16.42801,15.5722,8388607,3629605,3348731,3496633,2262069,2106805,8388607,8388607
50495,12.55956,35.01502,35.27423,35.20814,35.08938,34.97553,16.42801,15.5722,8388607,3630492,3347876,3497641,2260462,2108141,8388607,8388607
50638,12.55956,35.01404,35.27238,35.20781,35.08194,34.97483,16.42801,15.5722,8388607,3630784,3348436,3497738,2262745,2108354,8388607,8388607
50792,12.55956,35.01528,35.26867,35.215,35.0881,34.9748,16.42801,15.5722,8388607,3630418,3349559,3495620,2260856,2108362,8388607,8388607
50945,12.55956,35.02274,35.26634,35.21182,35.08144,34.97552,16.42801,15.5722,8388607,3628207,3350262,3496556,2262897,2108144,8388607,8388607
51128,12.55956,35.02431,35.26839,35.21304,35.08334,34.97771,16.42801,15.5722,8388607,3627743,3349643,3496196,2262315,2107475,8388607,8388607
51251,12.55956,35.02167,35.2672,35.2075,35.08674,34.97157,16.42801,15.5722,8388607,3628524,3350004,3497829,2261273,2109347,8388607,8388607
51375,12.55956,35.01904,35.27078,35.20418,35.08518,34.96752,16.42801,15.5722,8388607,3629301,3348920,3498808,2261751,2110579,8388607,8388607
51498,12.55956,35.01593,35.26914,35.20637,35.0864,34.9685,16.42801,15.5722,8388607,3630223,3349415,3498161,2261375,2110283,8388607,8388607
51631,12.55956,35.02454,35.26119,35.21001,35.08713,34.97081,16.42801,15.5722,8388607,3627675,3351823,3497090,2261153,2109579,8388607,8388607
51764,12.55956,35.02055,35.26512,35.21456,35.08543,34.97344,16.42801,15.5722,8388607,3628856,3350631,3495746,2261674,2108778,8388607,8388607
51898,12.55956,35.01959,35.27029,35.2095,35.08765,34.97059,16.42801,15.5722,8388607,3629139,3349070,3497239,2260994,2109645,8388607,8388607
52041,12.55956,35.02268,35.26591,35.211,35.08232,34.96849,16.42801,15.5722,8388607,3628225,3350393,3496797,2262627,2110285,8388607,8388607
52234,12.55956,35.02197,35.26675,35.21009,35.08832,34.96867,16.42801,15.5722,8388607,3628434,3350138,3497066,2260790,2110228,8388607,8388607
52367,12.55956,35.02396,35.2575,35.21276,35.0799,34.97157,16.42801,15.5722,8388607,3627845,3352936,3496277,2263368,2109346,8388607,8388607
52501,12.55956,35.01614,35.26317,35.21116,35.08121,34.97219,16.42801,15.5722,8388607,3630161,3351222,3496749,2262967,2109157,8388607,8388607
52634,12.55956,35.0135,35.26579,35.2092,35.08355,34.96714,16.42801,15.5722,8388607,3630942,3350430,3497327,2262251,2110696,8388607,8388607
52767,12.55956,35.0208,35.25532,35.21215,35.07531,34.97191,16.42801,15.5722,8388607,3628782,3353597,3496457,2264776,2109243,8388607,8388607
52900,12.55956,35.0155,35.26593,35.21065,35.07997,34.97143,16.42801,15.5722,8388607,3630351,3350387,3496902,2263348,2109388,8388607,8388607
53034,12.55956,35.01526,35.26426,35.21063,35.07961,34.96688,16.42801,15.5722,8388607,3630423,3350891,3496906,2263458,2110775,8388607,8388607
53167,12.55956,35.01643,35.26034,35.21833,35.08142,34.97291,16.42801,15.5722,8388607,3630076,3352077,3494638,2262904,2108938,8388607,8388607
53310,12.55956,35.01169,35.26699,35.21556,35.08255,34.96955,16.42801,15.5722,8388607,3631480,3350067,3495453,2262557,2109962,8388607,8388607
53454,12.55956,35.01585,35.26669,35.21132,35.08428,34.96793,16.42801,15.5722,8388607,3630247,3350157,3496702,2262025,2110456,8388607,8388607
53597,12.55956,35.01305,35.26885,35.21573,35.08506,34.96699,16.42801,15.5722,8388607,3631077,3349504,3495402,2261787,2110742,8388607,8388607
53740,12.55956,35.00695,35.26476,35.21998,35.08966,34.96952,16.42801,15.5722,8388607,3632883,3350743,3494150,2260377,2109970,8388607,8388607
53943,12.55956,35.01048,35.25744,35.21521,35.08222,34.97512,16.42801,15.5722,8388607,3631839,3352954,3495557,2262657,2108264,8388607,8388607
