,Time,Water 1 temp,Water 2 temp,ECMO 1 temp,ECMO 2 temp,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
0,0.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,0.000000000,mode,VV-ECMO
1,0.000000000,37.001169588,36.998510865,36.999260569,37.001056869,37.000365628,37.000888751,0.000000000,measurement_noise,0.001
2,0.040005334,36.999047248,37.001640440,37.000164382,36.998980315,37.000986088,37.000171159,0.000000000,run_time,300
3,0.080010668,37.001368223,36.999814242,37.001096060,37.001594811,36.999281002,36.999189757,0.000000000,heart_mixing,Enabled
4,0.120016002,36.999983362,36.998815292,36.999177416,36.998991086,37.001751803,36.999433758,0.000000000,heat_transfer_membrane,0
5,0.160021336,36.999565757,36.999930988,37.000577625,37.000530253,36.998173311,36.999567836,0.000000000,signal_type,Heating element
6,0.200026670,37.000829747,37.000017510,36.999037002,37.001066091,36.999076267,37.000140689,0.000000000,recirculation,30
7,0.240032004,36.998206876,37.000164309,37.000520765,37.000052091,37.001085622,36.999135432,0.000000000,volume_water_reservoir,1200
8,0.280037338,36.999738827,36.998525248,36.999581812,37.001762658,37.001072020,37.000263865,0.000000000,power_heater_unit,0
9,0.320042672,37.000106288,37.000778406,36.999837443,36.999966603,36.999505791,37.000150093,0.000000000,heat_loss_tubing,0
10,0.360048006,37.001249357,36.998084812,37.000025890,36.999283566,37.002684308,37.000649236,0.000000000,volume_membrane_water,150
11,0.400053340,37.001148382,36.999671099,36.998076727,36.999427768,36.999944986,36.999651523,0.000000000,volume_membrane_blood,250
12,0.440058674,36.999340929,37.001486159,36.999620431,37.000148862,37.000229444,37.001083258,0.000000000,heating_element_location,10
13,0.480064009,36.999233011,36.998984540,37.000532822,37.000298265,36.999585938,36.999766393,0.000000000,start_heating_element,10
14,0.520069343,37.001731347,37.001212320,37.001735367,37.001897680,36.999352986,36.999286512,0.000000000,heating_element_duration,5
15,0.560074677,36.999668901,37.000212349,37.001319846,37.000062159,37.000596129,37.000721304,0.000000000,heating_element_power,100
16,0.600080011,37.000129970,36.999753999,37.000063549,36.999730317,36.999841284,37.000449814,0.000000000,flow_rate_water,1500
17,0.640085345,36.999712256,37.000828414,37.000338263,37.000426342,37.001509987,37.000755678,0.000000000,vol_tubes_water,300
18,0.680090679,37.000497223,37.002686365,37.000364608,37.000837025,37.000053951,37.000433609,0.000000000,start_temp_water,37
19,0.720096013,36.999099056,37.000113538,36.999769917,36.999878639,37.001063506,36.999916740,0.000000000,temp_location_water_1,25
20,0.760101347,36.999617215,36.998491969,37.000945656,36.998921000,36.999031825,37.000073370,0.000000000,temp_location_water_2,75
21,0.800106681,36.998556890,37.000021194,36.999845226,36.999971647,36.998312225,36.999162326,0.000000000,conduction_frac_water,0
22,0.840112015,37.000788926,37.000859187,37.000536880,36.998893854,36.998905661,36.999330410,0.000000000,flow_rate_ecmo,3000
23,0.880117349,36.999610933,37.000536474,37.000158313,37.000141814,37.001717080,36.999517512,0.000000000,vol_tubes_ecmo,300
24,0.920122683,36.999636835,37.002018391,36.998574607,36.998802970,36.999875787,36.999784571,0.000000000,start_temp_ecmo,37
25,0.960128017,36.999785950,36.998811757,37.000773954,36.998188422,36.998616253,37.000668485,0.000000000,temp_location_ecmo_arterial,25
26,1.000133351,37.001733504,37.000354572,36.998356685,36.998837487,37.001955231,36.999114416,0.000000000,temp_location_ecmo_venous,75
27,1.040138685,36.999314964,37.000603390,36.999667873,37.000158873,37.000545636,36.998787788,0.000000000,conduction_frac_ecmo,0
28,1.080144019,36.999766191,37.001525997,37.000152220,36.999177159,36.998236077,36.998942566,0.000000000,injectate_location,95
29,1.120149353,37.000835423,37.000890271,37.001087059,37.001199409,37.001440916,36.999414061,0.000000000,start_injection,10
30,1.160154687,37.001642094,36.999997666,36.998501048,37.001269582,37.000464220,36.998839378,0.000000000,duration_injection,3
31,1.200160021,36.999076059,37.002205291,36.999931687,37.000390025,37.000898538,36.998748974,0.000000000,injectate_temperature,7
32,1.240165355,37.000278065,37.000375975,36.999977035,36.999035094,37.001285243,36.999479584,0.000000000,injectate_volume,20
33,1.280170689,37.001855034,37.000350618,37.000861649,37.000611921,37.001052738,36.999608024,0.000000000,cardiac_output,4500
34,1.320176023,37.000957520,36.999234368,36.999310002,37.001272396,37.001058249,37.000416067,0.000000000,blood_vol_patient,4500
35,1.360181358,36.999025800,36.999032419,36.999515276,36.998810943,36.999442426,37.001828975,0.000000000,start_temp_patient,37
36,1.400186692,37.000257842,37.000654241,37.000059453,37.000558527,36.997169274,36.999646723,0.000000000,patient_body_volume,70
37,1.440192026,36.998029169,37.000274154,37.000787534,37.001290783,36.998639055,36.999652210,0.000000000,radiative_heat_loss_patient,0
38,1.480197360,36.999882876,36.999903068,36.999228360,36.998751417,37.000155765,36.999308411,0.000000000,patient_heat_production,0
39,1.520202694,37.000171818,36.999088765,36.998724809,37.000329158,37.000060360,37.001144884,0.000000000,extravascular_lung_water,500
40,1.560208028,37.001515118,37.000072110,37.001211920,37.001210043,37.001235638,36.999633616,0.000000000,patient_out,90
41,1.600213362,37.000544607,36.999858804,36.999994830,36.999106428,36.999978454,36.999482560,0.000000000,patient_in,92
42,1.640218696,37.000575874,37.000188828,37.000153487,36.998208140,36.999696294,36.999805926,0.000000000,picco_location,25
43,1.680224030,36.998936073,36.999118982,36.998631011,37.001143415,37.001334388,36.998533354,0.000000000,swan_ganz_location,6
44,1.720229364,37.000772784,37.002118289,37.002095259,36.999383001,36.999138688,37.001804698,0.000000000,heat_exchange_body,25.0
45,1.760234698,36.998888207,37.001513640,36.999843193,37.000865981,37.000173681,37.000078028,0.000000000,heat_exchange_evlw,25.0
46,1.800240032,37.000182500,36.998734620,36.999644434,36.999957887,36.998104521,37.001714316,0.000000000,frac_capillaries_slow,10
47,1.840245366,37.000300837,37.000214617,36.999995779,37.001336675,36.998992075,37.000849154,0.000000000,frac_capillaries_medium,20
48,1.880250700,36.999867396,37.002135254,37.000462388,37.000543571,37.000472790,36.998938465,0.000000000,frac_capillaries_fast,70
49,1.920256034,36.999253416,37.001214732,37.000355713,37.000213571,37.000989597,37.002683246,0.000000000,conduction_frac_patient,0
50,1.960261368,37.001094950,36.998879540,37.000648246,36.998817685,36.999185870,36.999780877,0.000000000,,
51,2.000266702,37.000225763,36.998934246,36.999328036,36.998417176,37.001311145,37.000233405,0.000000000,,
52,2.040272036,36.998175300,37.000379499,37.001643760,36.999868140,37.000707532,36.999957652,0.000000000,,
53,2.080277370,36.999402683,36.999122104,36.999613130,37.000120546,37.001127733,37.001573655,0.000000000,,
54,2.120282704,36.998806842,36.999443635,36.999521086,37.000003267,37.000125266,36.999440325,0.000000000,,
55,2.160288038,36.999931046,36.999294198,36.999968552,37.001080909,36.999813462,37.000084637,0.000000000,,
56,2.200293372,37.000116499,36.999347185,36.998909775,36.999805061,37.001215868,37.000877674,0.000000000,,
57,2.240298706,37.000709541,36.999192941,37.000714547,36.999324226,36.999081562,37.001200142,0.000000000,,
