,Time,Water 1 temp,Water 2 temp,ECMO 1 temp,ECMO 2 temp,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
0,0.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,0.000000000,mode,VV-ECMO
1,0.000000000,36.999920510,37.000416518,36.999736604,36.999358204,37.000701515,37.000482708,0.000000000,measurement_noise,0.001
2,0.040005334,36.998965918,37.000835109,36.998110501,37.000520459,37.000365272,37.000286778,0.000000000,run_time,300
3,0.080010668,36.999601534,36.999356000,37.000509731,37.002820397,36.999160629,37.000722324,0.000000000,heart_mixing,Enabled
4,0.120016002,37.001247413,37.000226613,37.001407791,36.999273577,36.999298324,36.999366763,0.000000000,heat_transfer_membrane,100
5,0.160021336,36.999857445,37.001451665,36.999480143,36.999488529,37.000522325,36.999449530,0.000000000,signal_type,Heating element
6,0.200026670,37.001384291,37.000765633,37.000792009,37.000871234,36.997391419,36.999821204,0.000000000,recirculation,30
7,0.240032004,37.001340763,37.000361277,36.999455455,36.999392673,36.998540132,37.001855876,0.000000000,volume_water_reservoir,1200
8,0.280037338,37.000333904,37.000846675,36.999267774,37.000992569,36.999382557,37.001464145,0.000000000,power_heater_unit,0
9,0.320042672,37.000273725,37.000650077,37.000201764,36.999665663,37.001016012,37.001226498,0.000000000,heat_loss_tubing,0
10,0.360048006,36.999282222,36.999660062,37.000114440,36.999282761,36.999696723,36.997683687,0.000000000,volume_membrane_water,150
11,0.400053340,36.999959955,37.001041020,37.001616654,36.999438254,36.999371898,36.998360416,0.000000000,volume_membrane_blood,250
12,0.440058674,37.001235109,37.000664267,36.999479948,37.000749007,37.001014027,37.001427531,0.000000000,heating_element_location,10
13,0.480064009,36.997857323,37.001036341,36.998841939,36.998237998,37.000313524,36.999715379,0.000000000,start_heating_element,10
14,0.520069343,37.001433682,36.999955882,37.000972792,36.998161499,36.998721980,36.998446247,0.000000000,heating_element_duration,5
15,0.560074677,36.999200865,36.999224236,36.999463614,36.999041113,36.999720881,36.998392443,0.000000000,heating_element_power,100
16,0.600080011,37.000766028,37.000181038,37.001471770,37.000384844,36.999106788,37.000706458,0.000000000,flow_rate_water,1500
17,0.640085345,36.999801758,36.999660529,36.999444056,36.999713997,37.000936423,37.001114435,0.000000000,vol_tubes_water,300
18,0.680090679,37.000765746,36.997973299,37.000149038,37.002049339,36.999433127,36.999353567,0.000000000,start_temp_water,37
19,0.720096013,36.999528559,36.998904652,36.999296376,36.999662003,36.998666295,37.000585596,0.000000000,temp_location_water_1,25
20,0.760101347,37.001135819,36.998863948,37.001392182,36.999494974,36.999560635,36.999100728,0.000000000,temp_location_water_2,75
21,0.800106681,36.999820573,36.999910884,36.998926762,36.998042315,37.000685443,37.002115708,0.000000000,conduction_frac_water,0
22,0.840112015,36.998129238,36.999484284,36.999738517,37.002418799,37.001200813,36.999937917,0.000000000,flow_rate_ecmo,3000
23,0.880117349,36.999142827,36.998778605,36.999624477,36.999755384,36.998538522,36.999029219,0.000000000,vol_tubes_ecmo,300
24,0.920122683,37.000161051,36.999582597,36.998760083,37.001650803,36.999097993,37.000472664,0.000000000,start_temp_ecmo,37
25,0.960128017,37.001661762,37.001265659,36.999932510,36.998735661,37.001371628,36.999950986,0.000000000,temp_location_ecmo_arterial,25
26,1.000133351,37.000259871,37.000561886,36.998907589,36.999360395,36.999037895,36.998805611,0.000000000,temp_location_ecmo_venous,75
27,1.040138685,36.998639880,37.001398302,36.999966514,37.000172520,36.999009145,36.999830042,0.000000000,conduction_frac_ecmo,0
28,1.080144019,37.000288321,37.001032123,36.998458649,37.000495876,36.999386576,37.000980845,0.000000000,injectate_location,95
29,1.120149353,37.000291747,36.998909858,36.999894267,36.999902633,37.000246017,36.999462720,0.000000000,start_injection,10
30,1.160154687,36.999942734,36.999537449,36.999702209,37.000651198,37.000245263,36.998252663,0.000000000,duration_injection,3
31,1.200160021,37.001232252,36.999057809,36.998530654,37.000417391,36.999381195,37.001081817,0.000000000,injectate_temperature,7
32,1.240165355,37.000175400,37.000041732,37.000973828,36.998389720,36.999797400,37.000597064,0.000000000,injectate_volume,20
33,1.280170689,36.998821352,36.997500009,37.000732474,37.002388053,37.000139466,37.001665674,0.000000000,cardiac_output,4500
34,1.320176023,36.999063493,37.001172200,36.998977960,36.999540198,36.999852101,36.999604479,0.000000000,blood_vol_patient,4500
35,1.360181358,37.000614940,36.999482789,37.002101224,37.000352532,37.000432596,36.999709876,0.000000000,start_temp_patient,37
36,1.400186692,37.001392137,36.999917957,37.001703745,36.999777610,36.999668439,37.000469093,0.000000000,patient_body_volume,70
37,1.440192026,36.999926584,37.000546304,37.002065484,36.998657189,36.998573775,37.000445521,0.000000000,radiative_heat_loss_patient,0
38,1.480197360,36.999594259,36.999029035,36.998431525,36.999737899,37.001213622,37.001235189,0.000000000,patient_heat_production,0
39,1.520202694,37.000586841,37.001880452,36.999235498,36.999531983,37.002802130,36.999690541,0.000000000,extravascular_lung_water,500
40,1.560208028,37.000159408,37.000673656,37.000112339,36.999293532,36.999686818,37.000482263,0.000000000,patient_out,90
41,1.600213362,36.999031518,37.001210351,37.001180243,36.999711379,36.999702321,36.997995684,0.000000000,patient_in,92
42,1.640218696,36.998853117,37.000983237,36.999821205,36.999096819,36.999530197,37.000097534,0.000000000,picco_location,25
43,1.680224030,36.999533637,37.000022156,37.000633864,37.000228491,37.001160682,37.000281813,0.000000000,swan_ganz_location,6
44,1.720229364,37.000212956,36.999958986,36.998242550,36.999066881,37.001206824,37.001294492,0.000000000,heat_exchange_body,25.0
45,1.760234698,36.999534085,37.000997669,36.999691827,36.998824500,37.000873621,37.000313472,0.000000000,heat_exchange_evlw,25.0
46,1.800240032,36.998038768,36.999331141,37.000157388,36.999998526,36.998531242,37.000076896,0.000000000,frac_capillaries_slow,10
47,1.840245366,36.999246097,37.000023099,37.000472209,36.998255269,36.997920821,36.999600909,0.000000000,frac_capillaries_medium,20
48,1.880250700,36.999423608,36.999472240,36.999875319,37.001563863,37.000953482,36.998890527,0.000000000,frac_capillaries_fast,70
49,1.920256034,36.998946010,37.000435593,37.000226845,36.999505964,36.999603912,36.998606868,0.000000000,conduction_frac_patient,0
50,1.960261368,36.998077889,36.999508151,36.998419996,36.998796781,36.999612544,37.000024180,0.000000000,,
51,2.000266702,37.000485882,37.001044279,36.997672871,36.999069628,37.000053796,37.001551780,0.000000000,,
52,2.040272036,37.000631335,36.998838195,37.000477531,37.000054509,37.000809525,37.000311769,0.000000000,,
53,2.080277370,36.998904789,36.998006430,37.000097168,36.999588699,36.999486015,36.998797161,0.000000000,,
54,2.120282704,37.000684405,36.999432739,36.998511994,36.999758538,36.998533031,37.000325783,0.000000000,,
55,2.160288038,37.001018782,37.000112767,37.000181178,36.999187507,36.999846967,37.001160934,0.000000000,,
56,2.200293372,36.999356911,36.999628232,37.000130360,37.000234209,36.999503690,37.000249213,0.000000000,,
57,2.240298706,37.000074294,37.000710077,36.999145385,37.000474687,36.999978277,36.998316354,0.000000000,,
58,2.280304041,36.999684859,36.999706615,36.999180375,37.002773523,37.000931567,36.999663154,0.000000000,,
59,2.320309375,36.999466332,36.999601548,36.999805162,37.001931170,37.000325838,36.999171715,0.000000000,,
60,2.360314709,37.000681567,37.000208171,37.000435012,37.001022893,37.000299577,37.000266504,0.000000000,,
61,2.400320043,37.000220644,36.998699194,36.999341428,36.999476139,36.999800742,37.000833167,0.000000000,,
62,2.440325377,37.001881404,36.999646482,37.000616941,36.999913187,37.001014160,37.001097371,0.000000000,,
63,2.480330711,37.000125052,36.999000038,36.999656782,37.000088682,36.999827862,37.000919810,0.000000000,,
64,2.520336045,37.000972883,36.999195872,37.000886656,36.999493721,36.999849623,36.998825225,0.000000000,,
65,2.560341379,36.998934121,37.000951899,36.999404430,37.002377113,36.998639447,36.999918039,0.000000000,,
66,2.600346713,36.999662504,36.997952259,37.001016824,36.999596168,36.999130821,37.000498535,0.000000000,,
67,2.640352047,37.000948048,37.001363001,37.000927480,37.000732702,37.000663657,36.999251203,0.000000000,,
68,2.680357381,37.001608682,37.000292647,36.999532797,37.000314996,37.000118298,36.998374484,0.000000000,,
69,2.720362715,36.998675767,37.000030400,37.000779904,36.999858126,37.000905646,36.999616502,0.000000000,,
70,2.760368049,36.999978405,36.998799270,36.999929925,37.000930466,37.000823784,37.000585775,0.000000000,,
71,2.800373383,37.000010729,37.000667150,37.001615240,36.999078688,37.001066138,36.999534597,0.000000000,,
72,2.840378717,37.000499531,37.001176891,37.000755732,37.000726416,36.999779203,37.000132556,0.000000000,,
73,2.880384051,37.000417922,37.000625264,36.998759933,36.998875238,36.999397470,36.999285304,0.000000000,,
74,2.920389385,37.000337156,36.998936329,36.999646096,37.000382411,36.999489942,37.000955753,0.000000000,,
75,2.960394719,36.999686116,36.999436787,36.999813998,37.002019712,36.998954041,37.000238860,0.000000000,,
76,3.000400053,36.999777673,36.999892784,36.999404912,36.999799830,37.000425580,37.000851868,0.000000000,,
77,3.040405387,36.998299046,37.000070362,37.000470932,37.001232887,36.999927472,37.001040243,0.000000000,,
78,3.080410721,37.000375799,37.001756460,36.999983540,36.999659739,36.999211698,37.000342772,0.000000000,,
79,3.120416055,36.998815204,37.000996176,37.001543370,36.999965123,36.999169850,37.000235207,0.000000000,,
80,3.160421390,37.000467491,37.002115570,36.999078833,37.000126637,37.001193675,37.001041676,0.000000000,,
81,3.200426724,36.999829295,37.000590544,37.000094988,37.000974691,36.999374887,37.000889369,0.000000000,,
82,3.240432058,36.999830813,37.000159289,36.999824688,36.999494216,37.000173725,37.000625540,0.000000000,,
83,3.280437392,36.999436487,37.000513045,37.001734931,36.998447644,37.000065925,37.000320971,0.000000000,,
84,3.320442726,36.998548597,36.998760084,37.000879335,37.000551038,36.999248603,37.000107718,0.000000000,,
85,3.360448060,37.001064385,37.000267597,37.000698488,36.999989707,36.999257642,37.000108121,0.000000000,,
86,3.400453394,37.000514333,36.999251571,36.999999951,36.998617716,36.997998977,36.999911078,0.000000000,,
87,3.440458728,36.999950825,37.001395079,37.000863869,36.998247760,37.000505506,37.001207900,0.000000000,,
88,3.480464062,36.999865981,36.999516891,37.001891727,36.998915150,36.999064052,36.999756109,0.000000000,,
89,3.520469396,37.000595718,37.001470778,36.997703441,36.999636830,36.999516877,37.000757793,0.000000000,,
90,3.560474730,36.999714267,36.999514086,36.996956071,37.000288273,36.997794079,37.001393840,0.000000000,,
91,3.600480064,37.000325463,36.999762037,36.999088274,37.000565010,37.000920256,37.000951848,0.000000000,,
92,3.640485398,36.999872827,37.002844478,36.998714511,36.999304741,37.002283832,36.999599391,0.000000000,,
93,3.680490732,37.001018197,37.000852162,37.000203059,37.000855437,37.000770639,36.999906923,0.000000000,,
94,3.720496066,36.996522861,36.999040384,37.000193398,37.000570097,37.000035004,37.001384581,0.000000000,,
95,3.760501400,37.001239862,37.000931766,37.000716600,36.999227986,36.999746644,36.999948469,0.000000000,,
96,3.800506734,36.999692895,37.000491181,37.000478928,37.000282456,37.000920802,37.000210758,0.000000000,,
