,0
0,-10.048937258
1,-10.012920480
2,-9.977032791
3,-9.941273728
4,-9.905642830
5,-9.870139639
6,-9.834763696
7,-9.799514545
8,-9.764391732
9,-9.729394804
10,-9.694523310
11,-9.659776800
12,-9.625154827
13,-9.590656943
14,-9.556282705
15,-9.522031668
16,-9.487903392
17,-9.453897437
18,-9.420013363
19,-9.386250735
20,-9.352609116
21,-9.319088074
22,-9.285687176
23,-9.252405991
24,-9.219244091
25,-9.186201048
26,-9.153276435
27,-9.120469829
28,-9.087780806
29,-9.055208945
30,-9.022753826
31,-8.990415030
32,-8.958192142
33,-8.926084745
34,-8.894092425
35,-8.862214770
36,-8.830451368
37,-8.798801812
38,-8.767265691
39,-8.735842601
40,-8.704532135
41,-8.673333890
42,-8.642247464
43,-8.611272456
44,-8.580408467
45,-8.549655098
46,-8.519011954
47,-8.488478639
48,-8.458054760
49,-8.427739924
50,-8.397533741
51,-8.367435821
52,-8.337445776
53,-8.307563219
54,-8.277787766
55,-8.248119032
56,-8.218556634
57,-8.189100193
58,-8.159749327
59,-8.130503659
60,-8.101362812
61,-8.072326409
62,-8.043394077
63,-8.014565442
64,-7.985840133
65,-7.957217780
66,-7.928698013
67,-7.900280464
68,-7.871964769
69,-7.843750560
70,-7.815637475
71,-7.787625152
72,-7.759713228
73,-7.731901345
74,-7.704189143
75,-7.676576265
76,-7.649062356
77,-7.621647061
78,-7.594330026
79,-7.567110899
80,-7.539989328
81,-7.512964966
82,-7.486037462
83,-7.459206471
84,-7.432471645
85,-7.405832640
86,-7.379289114
87,-7.352840723
88,-7.326487127
89,-7.300227985
90,-7.274062961
91,-7.247991715
92,-7.222013912
93,-7.196129217
94,-7.170337297
95,-7.144637818
96,-7.119030450
97,-7.093514862
98,-7.068090725
99,-7.042757712
100,-7.017515496
101,-6.992363752
102,-6.967302155
103,-6.942330382
104,-6.917448112
105,-6.892655023
106,-6.867950796
107,-6.843335112
108,-6.818807654
109,-6.794368106
110,-6.770016153
111,-6.745751481
112,-6.721573776
113,-6.697482728
114,-6.673478025
115,-6.649559359
116,-6.625726420
117,-6.601978902
118,-6.578316498
119,-6.554738904
120,-6.531245814
121,-6.507836928
122,-6.484511942
123,-6.461270556
124,-6.438112470
125,-6.415037386
126,-6.392045007
127,-6.369135035
128,-6.346307176
129,-6.323561135
130,-6.300896619
131,-6.278313335
132,-6.255810994
133,-6.233389304
134,-6.211047976
135,-6.188786722
136,-6.166605256
137,-6.144503292
138,-6.122480544
139,-6.100536728
140,-6.078671563
141,-6.056884765
142,-6.035176053
143,-6.013545149
144,-5.991991773
145,-5.970515648
146,-5.949116495
147,-5.927794041
148,-5.906548008
149,-5.885378125
150,-5.864284117
151,-5.843265714
152,-5.822322643
153,-5.801454634
154,-5.780661420
155,-5.759942732
156,-5.739298302
157,-5.718727864
158,-5.698231154
159,-5.677807907
160,-5.657457860
161,-5.637180750
162,-5.616976316
163,-5.596844297
164,-5.576784435
165,-5.556796469
166,-5.536880144
167,-5.517035201
168,-5.497261385
169,-5.477558441
170,-5.457926116
171,-5.438364155
172,-5.418872307
173,-5.399450321
174,-5.380097946
175,-5.360814932
176,-5.341601031
177,-5.322455996
178,-5.303379578
179,-5.284371534
180,-5.265431617
181,-5.246559583
182,-5.227755189
183,-5.209018193
184,-5.190348353
185,-5.171745428
186,-5.153209178
187,-5.134739365
188,-5.116335750
189,-5.097998097
190,-5.079726168
191,-5.061519728
192,-5.043378542
193,-5.025302378
194,-5.007291000
195,-4.989344178
196,-4.971461680
197,-4.953643275
198,-4.935888733
199,-4.918197827
200,-4.900570327
201,-4.883006006
202,-4.865504639
203,-4.848065998
204,-4.830689860
205,-4.813376001
206,-4.796124197
207,-4.778934226
208,-4.761805866
209,-4.744738896
210,-4.727733097
211,-4.710788249
212,-4.693904134
213,-4.677080533
214,-4.660317231
215,-4.643614011
216,-4.626970657
217,-4.610386955
218,-4.593862692
219,-4.577397654
220,-4.560991629
221,-4.544644405
222,-4.528355772
223,-4.512125520
224,-4.495953439
225,-4.479839322
226,-4.463782959
227,-4.447784145
228,-4.431842672
229,-4.415958336
230,-4.400130932
231,-4.384360255
232,-4.368646103
233,-4.352988272
234,-4.337386561
235,-4.321840769
236,-4.306350695
237,-4.290916140
238,-4.275536904
239,-4.260212790
240,-4.244943599
241,-4.229729135
242,-4.214569202
243,-4.199463604
244,-4.184412147
245,-4.169414636
246,-4.154470878
247,-4.139580681
248,-4.124743852
249,-4.109960201
250,-4.095229536
251,-4.080551668
252,-4.065926408
253,-4.051353566
254,-4.036832956
255,-4.022364389
256,-4.007947680
257,-3.993582642
258,-3.979269091
259,-3.965006841
260,-3.950795709
261,-3.936635512
262,-3.922526067
263,-3.908467192
264,-3.894458706
265,-3.880500428
266,-3.866592179
267,-3.852733779
268,-3.838925049
269,-3.825165812
270,-3.811455890
271,-3.797795105
272,-3.784183284
273,-3.770620248
274,-3.757105825
275,-3.743639839
276,-3.730222117
277,-3.716852486
278,-3.703530773
279,-3.690256808
280,-3.677030418
281,-3.663851433
282,-3.650719684
283,-3.637635001
284,-3.624597215
285,-3.611606158
286,-3.598661663
287,-3.585763563
288,-3.572911691
289,-3.560105882
290,-3.547345971
291,-3.534631794
292,-3.521963185
293,-3.509339983
