,Time,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
0,0.000000000,37.000000000,37.000000000,0.000000000,mode,Patient only
1,0.000000000,36.999635250,37.001768115,0.000000000,measurement_noise,0.001
2,0.040013338,37.001184384,37.001332224,0.000000000,run_time,120
3,0.080026676,36.999172561,36.998573620,0.000000000,heart_mixing,Enabled
4,0.120040013,36.998479511,37.000555372,0.000000000,heat_transfer_membrane,100
5,0.160053351,36.999031309,36.999336475,0.000000000,signal_type,Injectate
6,0.200066689,36.999209691,36.998730837,0.000000000,recirculation,0
7,0.240080027,37.001918274,37.001035301,0.000000000,volume_water_reservoir,1200
8,0.280093364,37.002506630,36.998941940,0.000000000,power_heater_unit,0
9,0.320106702,37.000425488,37.000970749,0.000000000,heat_loss_tubing,0
10,0.360120040,37.001314359,37.001702736,0.000000000,volume_membrane_water,150
11,0.400133378,36.999993822,36.999464997,0.000000000,volume_membrane_blood,250
12,0.440146716,36.998999028,36.999925682,0.000000000,heating_element_location,10
13,0.480160053,36.999125081,36.998327654,0.000000000,start_heating_element,10
14,0.520173391,37.000839334,36.999325436,0.000000000,heating_element_duration,5
15,0.560186729,36.997467549,37.001069609,0.000000000,heating_element_power,100
16,0.600200067,36.999706265,37.000707505,0.000000000,flow_rate_water,1500
17,0.640213404,37.000530585,36.999584349,0.000000000,vol_tubes_water,300
18,0.680226742,37.000224450,37.000744962,0.000000000,start_temp_water,37
19,0.720240080,36.999741885,37.000116249,0.000000000,temp_location_water_1,25
20,0.760253418,37.000633037,36.998791871,0.000000000,temp_location_water_2,75
21,0.800266756,37.000157404,36.999855877,0.000000000,conduction_frac_water,0
22,0.840280093,37.000737544,37.000322042,0.000000000,flow_rate_ecmo,3000
23,0.880293431,36.997445368,36.999993356,0.000000000,vol_tubes_ecmo,300
24,0.920306769,36.999211022,37.001387459,0.000000000,start_temp_ecmo,37
25,0.960320107,37.000860279,36.999828463,0.000000000,temp_location_ecmo_arterial,25
26,1.000333444,37.001502552,36.999805925,0.000000000,temp_location_ecmo_venous,75
27,1.040346782,37.000259539,37.000373821,0.000000000,conduction_frac_ecmo,0
