,Time,Water 1 temp,Water 2 temp,ECMO 1 temp,ECMO 2 temp,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
0,0.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,0.000000000,mode,VV-ECMO
1,0.000000000,36.999145553,36.998552146,36.999175449,36.999223945,36.999331541,37.001105221,0.000000000,measurement_noise,0.001
2,0.040003334,37.000009712,37.000414882,36.999932793,37.000625197,36.998986652,36.999653573,0.000000000,run_time,480
3,0.080006667,37.000391123,36.999794664,36.999068096,36.999972059,36.999673175,37.000212659,0.000000000,heart_mixing,Enabled
4,0.120010001,37.000540178,37.000267394,37.000624459,37.000432744,36.999286885,37.001494931,0.000000000,heat_transfer_membrane,80
5,0.160013334,37.000527006,37.000993067,36.998386467,37.001808428,36.998205191,36.998892052,0.000000000,signal_type,Heating element + Injectate
6,0.200016668,36.998725031,37.000950309,36.998853844,36.999406532,36.999154485,36.998979720,0.000000000,recirculation,20
7,0.240020002,36.999460267,36.998806177,37.000494178,37.000607175,37.000746362,36.999422050,0.000000000,volume_water_reservoir,1200
8,0.280023335,37.002159893,36.998089705,37.001982533,36.999309030,37.000817308,36.999883830,0.000000000,power_heater_unit,0
9,0.320026669,36.998236779,36.999932782,37.000104619,36.999803184,37.001495381,37.000841315,0.000000000,heat_loss_tubing,0
10,0.360030003,36.999894631,37.000932546,37.000441678,37.000274406,36.999582038,37.000127830,0.000000000,volume_membrane_water,150
11,0.400033336,37.000346628,36.998722659,37.001065253,36.997802182,37.000887767,36.999310515,0.000000000,volume_membrane_blood,250
12,0.440036670,36.999931873,36.999330366,37.000872121,37.001027618,36.998739009,37.000746849,0.000000000,heating_element_location,10
13,0.480040003,37.001645987,36.999771006,37.001928525,37.000557087,36.998614732,37.000188485,0.000000000,start_heating_element,10
14,0.520043337,36.998989740,36.999516369,36.999745547,36.997829560,36.998146083,37.000006441,0.000000000,heating_element_duration,10
15,0.560046671,37.001029909,37.000146866,37.000491512,36.999980306,37.000654055,37.001872175,0.000000000,heating_element_power,100
