,Time,Water 1 temp,Water 2 temp,ECMO 1 temp,ECMO 2 temp,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
0,0.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,0.000000000,mode,VV-ECMO
1,0.000000000,36.999174637,36.999827993,36.998998354,36.999946153,37.000303733,36.997431261,0.000000000,measurement_noise,0.001
2,0.040008891,36.999483412,37.001514072,36.999020169,37.000092262,36.999652620,37.000300200,0.554467818,run_time,180
3,0.080017782,37.000663133,36.999209781,37.000651471,36.999666501,37.000415808,37.001328514,1.108960728,heart_mixing,Enabled
4,0.120026673,37.001003410,37.000444642,37.000749247,36.998000578,37.001440817,37.000406921,1.663453297,heat_transfer_membrane,80
5,0.160035563,36.998943331,36.999681575,37.000747329,36.998321926,37.000388319,37.000497907,2.217945560,signal_type,Heating element
6,0.200044454,37.000001300,36.999897044,36.999706763,36.999040620,37.000384978,36.999733747,2.772437536,recirculation,20
7,0.240053345,37.000668579,36.999718471,36.998233519,37.000532158,36.999597338,36.999119692,3.326929234,volume_water_reservoir,1200
8,0.280062236,37.001352791,37.001161787,36.998167102,36.999965963,37.000373096,36.999514096,3.881420661,power_heater_unit,60
9,0.320071127,36.999087432,36.998898906,37.000186963,36.999970301,36.999939072,37.000065620,4.435911818,heat_loss_tubing,2
10,0.360080018,37.000478132,36.999085580,36.999325917,37.001044023,36.999392428,36.998780230,4.990402708,volume_membrane_water,150
11,0.400088909,37.000804080,36.998463797,36.999964898,36.999430829,36.999701093,36.998262402,5.544893331,volume_membrane_blood,250
12,0.440097800,37.000242873,36.999561395,37.000251332,37.000495419,37.000629408,36.999153262,6.099383688,heating_element_location,10
13,0.480106690,36.999516588,36.998125287,36.999665560,36.999075231,37.000597229,36.999832920,6.653873777,start_heating_element,10
14,0.520115581,37.000099096,36.996890402,36.997826842,37.001712393,36.999914540,37.000002975,7.208363599,heating_element_duration,5
15,0.560124472,36.998385984,36.998511736,36.999655657,36.998355691,37.000009573,37.001290180,7.762853152,heating_element_power,100
16,0.600133363,36.999137155,37.000309333,37.000885961,37.000152521,36.999719522,37.000394828,8.317342436,flow_rate_water,1500
17,0.640142254,36.999507332,36.999594531,36.999623446,36.998229205,37.001083036,36.999247682,8.871831450,vol_tubes_water,300
18,0.680151145,36.999095865,36.999591737,37.000202374,37.001516840,37.000624682,37.002115161,9.426320194,start_temp_water,37
19,0.720160036,36.998892478,36.998673936,36.999642320,37.001410633,37.001714477,37.000294384,9.980808666,temp_location_water_1,25
20,0.760168926,36.999961343,36.998882883,36.999950065,36.999538684,36.999529216,36.999316754,10.535296866,temp_location_water_2,75
21,0.800177817,36.998495717,36.999726543,36.999807397,36.999310332,36.999778747,37.000042575,11.089784793,conduction_frac_water,10
22,0.840186708,36.998679288,36.999428809,36.998935386,36.998818614,37.000330487,37.001177544,11.644272446,flow_rate_ecmo,3000
23,0.880195599,36.998338023,36.999287999,37.001276633,36.999647688,36.999646045,37.001399156,12.198759825,vol_tubes_ecmo,300
24,0.920204490,37.000070812,36.999107994,37.000779417,37.001140234,37.000049702,37.000574540,12.753246929,start_temp_ecmo,37
