,Time,Water 1 temp,Water 2 temp,ECMO 1 temp,ECMO 2 temp,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
0,0.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,0.000000000,mode,VV-ECMO
1,0.000000000,37.000587915,36.999377159,37.000654693,36.999156187,36.999053847,36.999025415,0.000000000,measurement_noise,0.001
2,0.040008891,37.001077710,36.999970747,37.002119344,37.001008996,37.000377741,36.999017193,0.000000000,run_time,180
3,0.080017782,37.000425731,37.000147229,37.000487017,37.000187572,36.999036275,37.000670563,0.000000000,heart_mixing,Enabled
4,0.120026673,36.998624537,37.001700553,36.999926218,37.000449178,37.000488770,36.999211021,0.000000000,heat_transfer_membrane,80
5,0.160035563,37.000363812,37.000831389,36.999282327,37.001615343,37.000981019,37.001203768,0.000000000,signal_type,Injectate
6,0.200044454,36.999493567,36.999961337,37.000267899,36.999371969,36.998703947,36.998961536,0.000000000,recirculation,20
7,0.240053345,36.999616733,37.000558945,37.000991496,36.998552536,36.998209904,37.001052917,0.000000000,volume_water_reservoir,1200
8,0.280062236,37.000286420,36.998749144,36.999005217,36.997054338,37.000816127,36.999765654,0.000000000,power_heater_unit,0
9,0.320071127,36.999467492,36.997998592,37.001334244,36.998657707,36.999787219,37.002818967,0.000000000,heat_loss_tubing,0
10,0.360080018,36.998678974,37.000058223,36.998582666,37.000181107,37.000104899,37.001090755,0.000000000,volume_membrane_water,150
11,0.400088909,36.999408740,37.001882052,37.002628792,37.000557492,37.001531398,37.001461774,0.000000000,volume_membrane_blood,250
12,0.440097800,37.000656150,37.001090341,36.999596086,36.999436333,37.001925147,36.999633296,0.000000000,heating_element_location,10
13,0.480106690,37.001685920,37.000697767,36.998757885,37.001298312,37.000224495,37.000512172,0.000000000,start_heating_element,10
14,0.520115581,37.000174251,37.001717752,37.000205711,37.000177447,36.999877898,36.999901253,0.000000000,heating_element_duration,5
15,0.560124472,37.001042369,37.000799228,36.999518658,37.001000703,37.000251057,36.999912429,0.000000000,heating_element_power,100
16,0.600133363,37.000616336,37.000455750,37.000986591,37.000489909,37.000028689,37.000107726,0.000000000,flow_rate_water,1500
17,0.640142254,37.000213361,37.000877261,37.000436821,37.000282532,36.999454580,36.998727297,0.000000000,vol_tubes_water,300
18,0.680151145,36.998429655,37.000066753,36.999387017,37.000769133,37.000133092,37.001121988,0.000000000,start_temp_water,37
19,0.720160036,36.999212791,36.999954484,37.000292819,36.999243402,37.001257792,37.000624190,0.000000000,temp_location_water_1,25
